iter	Passed	Remaining
0	56	5620
1	57	2805
2	57	1862
3	58	1394
4	58	1112
5	58	922
6	59	788
7	59	687
8	60	609
9	60	544
10	60	492
11	61	449
12	61	413
13	62	382
14	62	355
15	63	332
16	63	312
17	64	293
18	65	277
19	65	262
20	66	249
21	66	236
22	67	224
23	67	213
24	67	203
25	68	194
26	68	185
27	69	177
28	69	170
29	70	163
30	70	156
31	70	150
32	71	145
33	71	139
34	72	134
35	72	129
36	73	124
37	74	121
38	74	117
39	75	113
40	75	108
41	75	104
42	76	101
43	76	97
44	76	94
45	77	90
46	77	87
47	78	84
48	79	82
49	79	79
50	80	77
51	80	74
52	81	71
53	81	69
54	81	66
55	82	64
56	82	62
57	82	59
58	83	57
59	83	55
60	84	53
61	84	51
62	84	49
63	85	47
64	85	46
65	85	44
66	86	42
67	86	40
68	87	39
69	87	37
70	88	35
71	88	34
72	88	32
73	89	31
74	90	30
75	90	28
76	91	27
77	91	25
78	92	24
79	92	23
80	93	21
81	93	20
82	94	19
83	94	18
84	95	16
85	95	15
86	96	14
87	96	13
88	97	11
89	97	10
90	97	9
91	98	8
92	98	7
93	98	6
94	99	5
95	99	4
96	99	3
97	100	2
98	100	1
99	100	0
